Campaign,Week,Impressions,Clicks,Cost,Conversions,Revenue
Google Ads - Brand | Exact,Week 1,2405,346,783,14,7879
Google Ads - Generic | Data Visualization,Week 9,3853,91,488,2,1049
Google Ads - Generic | Data Visualization,Week 10,4313,102,583,3,1400
Google Ads - Generic | Data Visualization,Week 11,3979,99,581,3,1425
Google Ads - Generic | Data Visualization,Week 12,3950,103,606,3,1574
Google Ads - Competitor | vs Tableau,Week 1,1555,54,378,1,658
Google Ads - Competitor | vs Tableau,Week 2,2016,67,481,2,1372
Google Ads - Competitor | vs Tableau,Week 3,1395,48,321,1,666
Google Ads - Competitor | vs Tableau,Week 4,2406,84,624,2,1270
Google Ads - Competitor | vs Tableau,Week 5,1284,38,271,1,628
Google Ads - Competitor | vs Tableau,Week 6,2368,79,606,3,2075
Google Ads - Competitor | vs Tableau,Week 7,1706,53,364,1,694
Google Ads - Competitor | vs Tableau,Week 8,2163,77,545,1,617
Google Ads - Competitor | vs Tableau,Week 9,1350,46,347,1,713
Google Ads - Competitor | vs Tableau,Week 10,2657,95,630,2,1257
Google Ads - Competitor | vs Tableau,Week 11,1712,58,373,1,590
Google Ads - Competitor | vs Tableau,Week 12,2598,82,602,2,1348
Google Ads - Competitor | vs Power BI,Week 1,2547,78,485,2,1300
Google Ads - Competitor | vs Power BI,Week 2,1526,49,299,2,1096
Google Ads - Competitor | vs Power BI,Week 3,2455,78,522,1,630
Google Ads - Competitor | vs Power BI,Week 4,1149,34,228,1,595
Google Ads - Competitor | vs Power BI,Week 5,2003,63,427,1,645
Google Ads - Competitor | vs Power BI,Week 6,1532,45,299,1,659
Google Ads - Competitor | vs Power BI,Week 7,2228,73,494,1,607
Google Ads - Competitor | vs Power BI,Week 8,1063,32,231,0,0
Google Ads - Competitor | vs Power BI,Week 9,2116,65,451,1,640
Google Ads - Competitor | vs Power BI,Week 10,1347,42,278,1,633
Google Ads - Competitor | vs Power BI,Week 11,2813,78,462,1,623
Google Ads - Competitor | vs Power BI,Week 12,1779,51,340,1,621
Google Ads - Competitor | vs Looker,Week 1,912,27,235,1,666
Google Ads - Competitor | vs Looker,Week 2,1863,54,464,1,633
Google Ads - Competitor | vs Looker,Week 3,856,26,210,1,672
Google Ads - Competitor | vs Looker,Week 4,2267,62,527,2,1325
Google Ads - Competitor | vs Looker,Week 5,1581,39,307,1,613
Google Ads - Competitor | vs Looker,Week 6,692,20,160,1,664
Google Ads - Competitor | vs Looker,Week 7,1954,61,499,1,605
Google Ads - Competitor | vs Looker,Week 8,1018,29,230,0,0
Google Ads - Competitor | vs Looker,Week 9,2319,62,462,1,560
Google Ads - Competitor | vs Looker,Week 10,1149,32,256,0,0
Google Ads - Competitor | vs Looker,Week 11,1971,57,462,0,0
Google Ads - Competitor | vs Looker,Week 12,1543,42,309,1,561
Google Ads - Competitor | vs Mixpanel,Week 1,2221,60,383,1,577
Google Ads - Competitor | vs Mixpanel,Week 2,1355,33,178,0,0
Google Ads - Competitor | vs Mixpanel,Week 3,2707,63,365,1,574
Google Ads - Competitor | vs Mixpanel,Week 4,1558,39,234,0,0
Google Ads - Competitor | vs Mixpanel,Week 5,2202,63,409,0,0
Google Ads - Competitor | vs Mixpanel,Week 6,964,26,155,0,0
Google Ads - Competitor | vs Mixpanel,Week 7,1924,48,274,1,590
Google Ads - Competitor | vs Mixpanel,Week 8,2141,57,343,1,611
Google Ads - Competitor | vs Mixpanel,Week 9,1430,37,215,1,582
Google Ads - Competitor | vs Mixpanel,Week 10,2534,66,363,1,528
Google Ads - Competitor | vs Mixpanel,Week 11,1593,37,226,1,585
Google Ads - Competitor | vs Mixpanel,Week 12,2025,50,295,1,599
LinkedIn | Decision Makers,Week 1,9270,56,1201,2,843
LinkedIn | Decision Makers,Week 2,7379,41,977,2,793
LinkedIn | Decision Makers,Week 3,10752,60,1197,2,807
LinkedIn | Decision Makers,Week 4,8124,50,1189,3,1172
LinkedIn | Decision Makers,Week 5,7603,48,1120,2,859
LinkedIn | Decision Makers,Week 6,8663,52,1087,2,829
LinkedIn | Decision Makers,Week 7,7660,44,1011,2,871
LinkedIn | Decision Makers,Week 8,6148,41,982,1,446
LinkedIn | Decision Makers,Week 9,9331,55,1124,2,884
LinkedIn | Decision Makers,Week 10,8968,50,1204,2,779
LinkedIn | Decision Makers,Week 11,7884,46,970,2,791
LinkedIn | Decision Makers,Week 12,8572,56,1211,2,912
LinkedIn | IT Directors,Week 1,6246,39,799,2,726
LinkedIn | IT Directors,Week 2,7148,47,908,2,735
LinkedIn | IT Directors,Week 3,5847,40,809,2,702
LinkedIn | IT Directors,Week 4,6156,44,772,2,804
LinkedIn | IT Directors,Week 5,6549,44,806,2,790
LinkedIn | IT Directors,Week 6,8002,52,889,2,745
LinkedIn | IT Directors,Week 7,6841,46,943,2,815
LinkedIn | IT Directors,Week 8,5878,45,852,2,740
LinkedIn | IT Directors,Week 9,7505,50,946,2,757
LinkedIn | IT Directors,Week 10,6570,42,867,2,747
LinkedIn | IT Directors,Week 11,7285,47,882,2,779
LinkedIn | IT Directors,Week 12,8020,50,942,2,787
LinkedIn | Content Syndication,Week 1,13193,48,819,2,700
LinkedIn | Content Syndication,Week 2,11968,51,861,1,351
LinkedIn | Content Syndication,Week 3,13754,50,850,1,377
LinkedIn | Content Syndication,Week 4,14345,52,838,1,337
LinkedIn | Content Syndication,Week 5,10313,46,769,1,335
LinkedIn | Content Syndication,Week 6,13020,50,751,1,354
LinkedIn | Content Syndication,Week 7,10965,45,776,1,378
LinkedIn | Content Syndication,Week 8,12947,51,828,1,320
LinkedIn | Content Syndication,Week 9,12557,50,837,1,321
LinkedIn | Content Syndication,Week 10,11842,48,765,1,362
LinkedIn | Content Syndication,Week 11,13666,51,832,1,378
LinkedIn | Content Syndication,Week 12,10664,45,754,1,356
LinkedIn | InMail - Enterprise,Week 1,2047,18,464,1,464
LinkedIn | InMail - Enterprise,Week 2,1961,17,404,1,497
LinkedIn | InMail - Enterprise,Week 3,2350,17,452,1,480
LinkedIn | InMail - Enterprise,Week 4,2381,18,407,1,449
LinkedIn | InMail - Enterprise,Week 5,1942,17,457,1,451
LinkedIn | InMail - Enterprise,Week 6,2086,18,437,1,459
LinkedIn | InMail - Enterprise,Week 7,2495,18,410,1,458
LinkedIn | InMail - Enterprise,Week 8,2125,15,402,1,450
LinkedIn | InMail - Enterprise,Week 9,1967,17,412,1,489
LinkedIn | InMail - Enterprise,Week 10,1821,16,398,1,457
LinkedIn | InMail - Enterprise,Week 11,2071,16,432,1,500
LinkedIn | InMail - Enterprise,Week 12,1912,17,400,0,0
LinkedIn | Retargeting,Week 1,2214,32,202,2,706
LinkedIn | Retargeting,Week 2,2651,35,192,1,406
LinkedIn | Retargeting,Week 3,2706,34,207,2,690
LinkedIn | Retargeting,Week 4,2258,31,193,1,417
LinkedIn | Retargeting,Week 5,2635,39,211,1,365
LinkedIn | Retargeting,Week 6,2432,37,224,2,791
LinkedIn | Retargeting,Week 7,3124,41,223,1,407
LinkedIn | Retargeting,Week 8,2207,31,194,1,358
LinkedIn | Retargeting,Week 9,2391,32,189,1,345
LinkedIn | Retargeting,Week 10,2167,30,195,1,355
LinkedIn | Retargeting,Week 11,2458,34,197,1,386
LinkedIn | Retargeting,Week 12,2483,36,224,1,373
Meta | Lookalike Audiences,Week 1,14151,101,427,3,1297
Meta | Lookalike Audiences,Week 2,15387,110,451,2,899
Meta | Lookalike Audiences,Week 3,20868,129,513,3,1162
Meta | Lookalike Audiences,Week 4,16253,117,458,2,908
Meta | Lookalike Audiences,Week 5,15920,111,464,3,1153
Meta | Lookalike Audiences,Week 6,17346,107,442,3,1357
Meta | Lookalike Audiences,Week 7,17040,124,535,3,1179
Meta | Lookalike Audiences,Week 8,18504,118,454,3,1234
Meta | Lookalike Audiences,Week 9,15180,115,457,4,1533
Meta | Lookalike Audiences,Week 10,17161,128,490,2,852
Meta | Lookalike Audiences,Week 11,21745,135,563,4,1512
Meta | Lookalike Audiences,Week 12,19608,146,575,3,1288
Meta | Retargeting,Week 1,5593,87,306,2,855
Meta | Retargeting,Week 2,5773,81,269,2,753
Meta | Retargeting,Week 3,5513,79,263,2,841
Meta | Retargeting,Week 4,5162,83,293,3,1062
Meta | Retargeting,Week 5,4702,74,277,2,791
Meta | Retargeting,Week 6,5697,87,292,2,753
Meta | Retargeting,Week 7,5747,88,305,2,720
Meta | Retargeting,Week 8,5210,77,285,2,775
Meta | Retargeting,Week 9,5608,85,280,2,857
Meta | Retargeting,Week 10,5067,75,289,2,810
Meta | Retargeting,Week 11,6236,87,297,2,808
Meta | Retargeting,Week 12,5290,74,280,2,835
Meta | Webinar Promo,Week 1,9232,84,365,2,753
Meta | Webinar Promo,Week 2,10157,91,410,3,1177
Meta | Webinar Promo,Week 3,7344,71,344,2,720
Meta | Webinar Promo,Week 4,9895,92,395,2,708
Meta | Webinar Promo,Week 5,11272,104,425,3,1013
Meta | Webinar Promo,Week 6,9606,84,407,2,787
Meta | Webinar Promo,Week 7,8515,85,372,2,738
Meta | Webinar Promo,Week 8,10275,87,420,2,753
Meta | Webinar Promo,Week 9,7251,70,338,2,704
Meta | Webinar Promo,Week 10,8641,87,375,2,772
Meta | Webinar Promo,Week 11,8652,75,352,3,1017
Meta | Webinar Promo,Week 12,9919,85,403,2,648
