Campaign,Week,Impressions,Clicks,Cost,Conversions,Revenue
Google Ads - Brand | Exact Match,Week 1,1131,129,198,10,1912
Google Ads - Remarketing | Website Visitors,Week 12,5225,83,132,3,450
Google Ads - Remarketing | Quote Requests,Week 1,1113,48,92,3,561
Google Ads - Remarketing | Quote Requests,Week 2,1222,51,92,3,619
Google Ads - Remarketing | Quote Requests,Week 3,1171,52,95,4,798
Google Ads - Remarketing | Quote Requests,Week 4,1083,46,100,3,650
Google Ads - Remarketing | Quote Requests,Week 5,1208,49,92,3,626
Google Ads - Remarketing | Quote Requests,Week 6,1317,54,101,4,724
Google Ads - Remarketing | Quote Requests,Week 7,947,40,87,3,548
Google Ads - Remarketing | Quote Requests,Week 8,1099,47,94,3,636
Google Ads - Remarketing | Quote Requests,Week 9,1184,46,94,3,635
Google Ads - Remarketing | Quote Requests,Week 10,1155,51,104,3,649
Google Ads - Remarketing | Quote Requests,Week 11,1244,53,106,3,641
Google Ads - Remarketing | Quote Requests,Week 12,1205,48,98,3,613
Meta Ads | Awareness - Local Area,Week 1,18406,150,183,1,133
Meta Ads | Awareness - Local Area,Week 2,19118,161,206,1,130
Meta Ads | Awareness - Local Area,Week 3,22254,177,224,2,285
Meta Ads | Awareness - Local Area,Week 4,26740,198,215,1,117
Meta Ads | Awareness - Local Area,Week 5,24260,178,216,1,127
Meta Ads | Awareness - Local Area,Week 6,24565,177,198,1,121
Meta Ads | Awareness - Local Area,Week 7,23013,189,219,1,132
Meta Ads | Awareness - Local Area,Week 8,26210,193,217,2,244
Meta Ads | Awareness - Local Area,Week 9,23672,182,220,1,140
Meta Ads | Awareness - Local Area,Week 10,18122,161,180,2,236
Meta Ads | Awareness - Local Area,Week 11,19678,165,211,2,239
Meta Ads | Awareness - Local Area,Week 12,17235,152,178,1,129
Meta Ads | Retargeting - Website,Week 1,4855,86,146,3,418
Meta Ads | Retargeting - Website,Week 2,4315,71,135,3,430
Meta Ads | Retargeting - Website,Week 3,4004,66,127,2,287
Meta Ads | Retargeting - Website,Week 4,5305,89,150,3,468
Meta Ads | Retargeting - Website,Week 5,3376,68,133,2,324
Meta Ads | Retargeting - Website,Week 6,5262,89,152,3,447
Meta Ads | Retargeting - Website,Week 7,4220,77,138,3,478
Meta Ads | Retargeting - Website,Week 8,5381,92,154,3,437
Meta Ads | Retargeting - Website,Week 9,4143,82,141,3,442
Meta Ads | Retargeting - Website,Week 10,3719,72,137,2,319
Meta Ads | Retargeting - Website,Week 11,4265,71,125,2,327
Meta Ads | Retargeting - Website,Week 12,4649,85,149,3,432
Meta Ads | Seasonal Promo,Week 1,12079,112,116,1,118
Meta Ads | Seasonal Promo,Week 2,13195,126,133,1,110
Meta Ads | Seasonal Promo,Week 3,11001,99,107,1,117
Meta Ads | Seasonal Promo,Week 4,13658,136,130,1,115
Meta Ads | Seasonal Promo,Week 5,18062,169,164,1,114
Meta Ads | Seasonal Promo,Week 6,18183,197,186,2,229
Meta Ads | Seasonal Promo,Week 7,25078,225,206,1,108
Meta Ads | Seasonal Promo,Week 8,20426,192,188,1,126
Meta Ads | Seasonal Promo,Week 9,10880,121,129,1,122
Meta Ads | Seasonal Promo,Week 10,10786,114,121,1,111
Meta Ads | Seasonal Promo,Week 11,12499,132,133,1,109
Meta Ads | Seasonal Promo,Week 12,13635,124,112,1,120
Google LSA | Emergency,Week 1,585,35,334,9,1836
Google LSA | Emergency,Week 2,395,27,292,7,1568
Google LSA | Emergency,Week 3,522,34,308,8,1778
Google LSA | Emergency,Week 4,501,30,295,6,1415
Google LSA | Emergency,Week 5,647,43,420,10,2299
Google LSA | Emergency,Week 6,769,55,507,11,2180
Google LSA | Emergency,Week 7,858,58,542,13,3091
Google LSA | Emergency,Week 8,898,55,498,16,3186
Google LSA | Emergency,Week 9,390,28,300,6,1426
Google LSA | Emergency,Week 10,471,33,319,8,1723
Google LSA | Emergency,Week 11,513,32,318,9,2177
Google LSA | Emergency,Week 12,521,34,316,8,1882
Google LSA | General,Week 1,623,31,215,6,1054
Google LSA | General,Week 2,688,37,256,8,1553
Google LSA | General,Week 3,628,37,253,8,1450
Google LSA | General,Week 4,499,27,216,5,899
Google LSA | General,Week 5,567,28,226,5,990
Google LSA | General,Week 6,639,38,274,7,1302
Google LSA | General,Week 7,603,35,262,6,1170
Google LSA | General,Week 8,679,36,264,7,1216
Google LSA | General,Week 9,458,27,226,7,1255
Google LSA | General,Week 10,607,35,243,6,994
Google LSA | General,Week 11,561,31,233,7,1305
Google LSA | General,Week 12,684,40,270,9,1479
Google LSA | Hot Water,Week 1,395,24,199,4,1215
Google LSA | Hot Water,Week 2,401,26,214,3,983
Google LSA | Hot Water,Week 3,455,26,229,4,1268
Google LSA | Hot Water,Week 4,408,24,228,5,1524
Google LSA | Hot Water,Week 5,413,22,202,4,1215
Google LSA | Hot Water,Week 6,358,21,196,4,1294
Google LSA | Hot Water,Week 7,433,23,229,5,1538
Google LSA | Hot Water,Week 8,359,22,197,4,1395
Google LSA | Hot Water,Week 9,354,21,192,3,1054
Google LSA | Hot Water,Week 10,382,22,189,4,1210
Google LSA | Hot Water,Week 11,430,24,220,4,1231
Google LSA | Hot Water,Week 12,355,23,223,5,1668
Google LSA | Drain Clearing,Week 1,575,29,189,7,1058
Google LSA | Drain Clearing,Week 2,578,29,187,5,780
Google LSA | Drain Clearing,Week 3,457,23,173,6,921
Google LSA | Drain Clearing,Week 4,512,27,172,5,744
Google LSA | Drain Clearing,Week 5,567,29,212,7,1129
Google LSA | Drain Clearing,Week 6,929,43,300,11,1578
Google LSA | Drain Clearing,Week 7,934,44,306,11,1688
Google LSA | Drain Clearing,Week 8,764,36,253,8,1291
Google LSA | Drain Clearing,Week 9,465,25,189,6,858
Google LSA | Drain Clearing,Week 10,546,25,179,6,896
Google LSA | Drain Clearing,Week 11,437,21,159,6,832
Google LSA | Drain Clearing,Week 12,442,22,161,5,791
Google LSA | Bathroom,Week 1,384,17,147,2,737
Google LSA | Bathroom,Week 2,401,17,145,2,748
Google LSA | Bathroom,Week 3,385,18,143,2,718
Google LSA | Bathroom,Week 4,361,19,138,2,710
Google LSA | Bathroom,Week 5,465,20,161,3,1139
Google LSA | Bathroom,Week 6,361,19,154,2,767
Google LSA | Bathroom,Week 7,361,19,159,3,1035
Google LSA | Bathroom,Week 8,392,20,150,2,786
Google LSA | Bathroom,Week 9,351,18,140,2,696
Google LSA | Bathroom,Week 10,325,16,135,2,687
Google LSA | Bathroom,Week 11,363,19,164,3,1060
Google LSA | Bathroom,Week 12,395,21,153,2,827
