Customer_ID,First_Purchase_Date,Source,Total_Orders,Total_Spend,Last_Order_Date,Category_Most_Purchased
C10052,2025-03-11,Referral,3,490.03,2025-12-06,Home & Garden
C10053,2025-02-26,Referral,2,392.37,2025-05-04,Sports
C10054,2025-03-21,Organic,1,156.42,2025-03-21,Electronics
C10055,2025-07-04,Google Shopping,1,113.04,2025-07-04,Electronics
C10056,2025-02-28,Social,1,98.87,2025-02-28,Sports
C10057,2025-06-15,Social,1,146.13,2025-06-15,Electronics
C10058,2025-05-20,Meta,1,227.64,2025-05-20,Accessories
C10059,2025-05-20,Social,1,107.03,2025-05-20,Home & Garden
C10060,2025-05-14,Email,8,1324.63,2025-07-22,Accessories
C10061,2025-10-18,Google Shopping,1,106.04,2025-10-18,Electronics
C10062,2025-01-15,Google Shopping,4,628.72,2025-08-25,Sports
C10063,2025-04-25,Email,6,839.8,2025-07-05,Sports
C10064,2025-03-28,Email,1,198.83,2025-03-28,Home & Garden
C10065,2025-06-14,Google Shopping,1,199.8,2025-06-14,Home & Garden
C10066,2025-05-12,Organic,6,955.84,2025-06-10,Home & Garden
C10067,2025-10-07,Social,1,124.43,2025-10-07,Electronics
C10068,2025-06-17,Organic,7,1378.22,2025-10-23,Accessories
C10069,2025-08-21,Google Shopping,3,554.14,2025-11-11,Accessories
C10070,2025-04-23,Meta,1,283.0,2025-04-23,Home & Garden
C10071,2025-06-16,Meta,1,267.62,2025-06-16,Sports
C10072,2025-01-04,Email,6,921.55,2025-03-16,Electronics
C10073,2025-02-28,Email,6,1200.16,2025-12-23,Sports
C10074,2025-03-02,Meta,1,194.77,2025-03-02,Home & Garden
C10075,2025-03-24,Email,7,1647.32,2025-05-04,Electronics
C10076,2025-12-25,Email,1,209.01,2025-12-25,Home & Garden
C10077,2025-10-12,Email,6,1007.43,2025-11-30,Sports
C10078,2025-05-22,Referral,1,181.92,2025-05-22,Sports
C10079,2025-04-18,Meta,1,245.26,2025-04-18,Accessories
C10080,2025-02-05,Email,8,1409.64,2025-10-18,Electronics
C10081,2025-06-07,Organic,1,156.6,2025-06-07,Electronics
C10082,2025-05-07,Organic,6,883.93,2025-07-26,Electronics
C10083,2025-05-18,Google Shopping,1,141.9,2025-05-18,Electronics
C10084,2025-01-24,Meta,2,499.1,2025-10-13,Electronics
C10085,2025-12-26,Meta,1,256.39,2025-12-26,Accessories
C10086,2025-12-01,Google Shopping,1,186.11,2025-12-01,Electronics
C10087,2025-08-12,Email,7,1363.74,2025-11-19,Accessories
C10088,2025-01-19,Organic,4,608.26,2025-05-09,Accessories
C10089,2025-04-02,Meta,1,202.92,2025-04-02,Sports
C10090,2025-09-19,Google Shopping,1,155.57,2025-09-19,Accessories
C10091,2025-01-14,Social,1,94.13,2025-01-14,Sports
C10092,2025-11-20,Organic,4,748.88,2025-12-06,Accessories
C10093,2025-02-08,Social,1,115.85,2025-02-08,Accessories
C10094,2025-08-26,Meta,1,344.1,2025-08-26,Home & Garden
C10095,2025-03-23,Referral,1,192.59,2025-03-23,Sports
C10096,2025-04-15,Meta,2,585.03,2025-07-07,Sports
C10097,2025-08-23,Meta,1,146.98,2025-08-23,Accessories
C10098,2025-07-04,Organic,4,668.72,2025-11-01,Accessories
C10099,2025-10-19,Google Shopping,2,397.8,2025-11-06,Electronics
C10100,2025-08-09,Meta,1,208.83,2025-08-09,Electronics
C10101,2025-01-28,Referral,1,179.38,2025-01-28,Accessories
C10102,2025-07-28,Meta,2,300.74,2025-09-01,Sports
C10103,2025-12-09,Social,2,320.66,2025-12-05,Home & Garden
C10104,2025-07-28,Google Shopping,1,179.18,2025-07-28,Home & Garden
C10105,2025-07-13,Organic,3,425.05,2025-07-27,Home & Garden
C10106,2025-06-03,Organic,5,1021.44,2025-12-23,Sports
C10107,2025-09-26,Organic,2,360.76,2025-11-27,Electronics
C10108,2025-08-03,Google Shopping,3,482.05,2025-11-04,Sports
C10109,2025-01-24,Meta,1,132.91,2025-01-24,Accessories
C10110,2025-03-04,Social,1,117.04,2025-03-04,Sports
C10111,2025-06-09,Google Shopping,3,394.79,2025-11-10,Accessories
C10112,2025-08-09,Referral,2,322.05,2025-09-07,Home & Garden
C10113,2025-12-10,Meta,3,648.08,2025-12-08,Electronics
C10114,2025-10-18,Google Shopping,1,149.42,2025-10-18,Sports
C10115,2025-04-11,Social,2,262.37,2025-11-25,Sports
C10116,2025-01-19,Google Shopping,2,419.33,2025-02-28,Accessories
C10117,2025-05-02,Meta,2,451.77,2025-06-10,Home & Garden
C10118,2025-12-21,Meta,1,211.58,2025-12-21,Accessories
C10119,2025-08-24,Meta,4,678.88,2025-11-02,Home & Garden
C10120,2025-10-27,Meta,1,135.3,2025-10-27,Accessories
C10121,2025-12-02,Referral,1,124.32,2025-12-02,Electronics
C10122,2025-02-09,Referral,3,540.18,2025-10-05,Sports
C10123,2025-01-02,Google Shopping,3,641.82,2025-06-29,Electronics
C10124,2025-05-11,Google Shopping,1,257.53,2025-05-11,Electronics
C10125,2025-07-11,Google Shopping,2,337.09,2025-11-01,Accessories
C10126,2025-02-12,Google Shopping,1,181.17,2025-02-12,Sports
C10127,2025-06-08,Google Shopping,1,177.84,2025-06-08,Electronics
C10128,2025-06-04,Meta,1,307.75,2025-06-04,Sports
C10129,2025-04-03,Google Shopping,4,664.17,2025-10-26,Electronics
C10130,2025-06-20,Social,1,125.51,2025-06-20,Accessories
C10131,2025-10-12,Meta,1,194.55,2025-10-12,Accessories
C10132,2025-06-22,Organic,3,436.54,2025-12-26,Home & Garden
C10133,2025-10-14,Referral,1,218.8,2025-10-14,Home & Garden
C10134,2025-06-24,Email,6,1456.28,2025-12-19,Sports
C10135,2025-10-15,Email,6,1138.39,2025-12-13,Accessories
C10136,2025-01-28,Referral,1,148.96,2025-01-28,Home & Garden
C10137,2025-02-07,Google Shopping,4,614.87,2025-06-26,Sports
C10138,2025-07-17,Email,7,1680.36,2025-11-15,Accessories
C10139,2025-08-21,Organic,3,440.79,2025-11-24,Electronics
C10140,2025-01-17,Google Shopping,1,205.82,2025-01-17,Accessories
C10141,2025-07-01,Meta,4,774.46,2025-11-28,Electronics
C10142,2025-02-15,Meta,1,234.0,2025-02-15,Sports
C10143,2025-08-26,Organic,1,157.47,2025-08-26,Home & Garden
C10144,2025-06-02,Meta,1,61.01,2025-06-02,Home & Garden
C10145,2025-02-28,Meta,3,617.36,2025-09-19,Sports
C10146,2025-04-11,Organic,1,169.72,2025-04-11,Accessories
C10147,2025-01-27,Email,5,800.31,2025-06-23,Accessories
C10148,2025-05-09,Meta,1,178.53,2025-05-09,Electronics
C10149,2025-02-27,Email,1,140.38,2025-02-27,Accessories
C10150,2025-05-26,Meta,1,207.68,2025-05-26,Electronics
C10151,2025-09-08,Email,7,990.18,2025-11-27,Accessories
C10152,2025-09-04,Email,1,185.89,2025-09-04,Electronics
C10153,2025-10-03,Meta,1,252.58,2025-10-03,Sports
C10154,2025-07-01,Google Shopping,2,300.04,2025-10-30,Electronics
C10155,2025-09-18,Organic,3,541.26,2025-12-28,Electronics
C10156,2025-01-25,Organic,1,188.81,2025-01-25,Home & Garden
C10157,2025-05-22,Meta,1,118.66,2025-05-22,Sports
C10158,2025-07-22,Email,3,506.35,2025-11-20,Sports
C10159,2025-03-12,Organic,7,1276.03,2025-09-24,Sports
C10160,2025-06-08,Email,1,193.77,2025-06-08,Home & Garden
C10161,2025-06-04,Referral,1,176.09,2025-06-04,Sports
C10162,2025-03-25,Social,3,427.04,2025-10-06,Home & Garden
C10163,2025-12-06,Email,3,929.8,2025-12-14,Accessories
C10164,2025-08-25,Meta,4,681.65,2025-11-21,Accessories
C10165,2025-08-28,Organic,2,236.04,2025-11-17,Electronics
C10166,2025-03-25,Email,5,963.22,2025-10-05,Accessories
C10167,2025-12-19,Google Shopping,3,573.71,2025-12-28,Electronics
C10168,2025-02-24,Google Shopping,1,125.96,2025-02-24,Accessories
C10169,2025-01-20,Meta,1,206.73,2025-01-20,Sports
C10170,2025-06-06,Email,9,965.33,2025-06-24,Sports
C10171,2025-02-25,Google Shopping,3,645.22,2025-11-22,Accessories
C10172,2025-01-12,Meta,3,638.91,2025-04-10,Electronics
C10173,2025-01-08,Google Shopping,1,153.89,2025-01-08,Home & Garden
C10174,2025-01-10,Google Shopping,1,149.9,2025-01-10,Home & Garden
C10175,2025-06-15,Meta,1,256.86,2025-06-15,Electronics
C10176,2025-04-06,Referral,1,179.05,2025-04-06,Sports
C10177,2025-12-14,Social,1,124.7,2025-12-14,Home & Garden
C10178,2025-01-18,Organic,5,1007.89,2025-02-14,Home & Garden
C10179,2025-06-04,Google Shopping,1,226.57,2025-06-04,Electronics
C10180,2025-05-24,Meta,1,253.24,2025-05-24,Accessories
C10181,2025-04-11,Organic,5,708.22,2025-10-30,Electronics
C10182,2025-11-01,Email,1,162.18,2025-11-01,Accessories
C10183,2025-07-01,Social,2,306.99,2025-11-03,Sports
C10184,2025-08-12,Google Shopping,1,171.61,2025-08-12,Accessories
C10185,2025-02-10,Email,5,1055.05,2025-09-07,Home & Garden
C10186,2025-10-17,Organic,3,395.91,2025-11-18,Electronics
C10187,2025-08-23,Google Shopping,2,285.53,2025-11-22,Home & Garden
C10188,2025-07-09,Email,9,2011.16,2025-11-11,Home & Garden
C10189,2025-07-03,Google Shopping,1,181.87,2025-07-03,Accessories
C10190,2025-07-15,Email,4,573.52,2025-11-23,Accessories
C10191,2025-04-14,Google Shopping,1,223.88,2025-04-14,Accessories
C10192,2025-01-10,Meta,1,202.85,2025-01-10,Accessories
C10193,2025-07-25,Social,1,113.26,2025-07-25,Sports
C10194,2025-07-28,Meta,1,162.56,2025-07-28,Electronics
C10195,2025-02-05,Meta,1,178.08,2025-02-05,Home & Garden
C10196,2025-02-03,Google Shopping,1,173.24,2025-02-03,Home & Garden
C10197,2025-05-18,Referral,1,202.42,2025-05-18,Sports
C10198,2025-02-18,Meta,1,233.22,2025-02-18,Accessories
C10199,2025-02-14,Email,1,230.49,2025-02-14,Accessories
C10200,2025-10-15,Email,5,915.06,2025-10-29,Accessories
C10201,2025-11-12,Google Shopping,2,294.64,2025-11-29,Electronics
C10202,2025-03-02,Organic,5,1058.43,2025-08-14,Home & Garden
C10203,2025-07-05,Organic,7,1236.18,2025-08-12,Accessories
C10204,2025-06-18,Google Shopping,1,153.94,2025-06-18,Electronics
C10205,2025-09-16,Meta,3,446.37,2025-11-01,Home & Garden
C10206,2025-09-26,Referral,3,645.56,2025-11-20,Electronics
C10207,2025-10-11,Google Shopping,1,162.67,2025-10-11,Sports
C10208,2025-11-02,Google Shopping,1,197.78,2025-11-02,Electronics
C10209,2025-04-14,Organic,3,524.57,2025-10-17,Accessories
C10210,2025-05-14,Email,8,1695.6,2025-09-07,Sports
C10211,2025-04-03,Google Shopping,2,363.34,2025-07-05,Home & Garden
C10212,2025-04-03,Meta,1,272.05,2025-04-03,Electronics
C10213,2025-06-02,Organic,5,676.98,2025-10-30,Accessories
C10214,2025-04-14,Meta,1,235.54,2025-04-14,Accessories
C10215,2025-03-10,Email,6,1111.81,2025-08-02,Sports
C10216,2025-07-11,Meta,1,243.25,2025-07-11,Sports
C10217,2025-12-01,Organic,5,691.25,2025-12-28,Sports
C10218,2025-07-13,Social,1,90.77,2025-07-13,Accessories
C10219,2025-05-10,Meta,1,246.6,2025-05-10,Home & Garden
C10220,2025-06-28,Google Shopping,2,510.67,2025-12-26,Home & Garden
C10221,2025-03-23,Meta,1,193.06,2025-03-23,Home & Garden
C10222,2025-03-05,Google Shopping,2,461.63,2025-07-14,Home & Garden
C10223,2025-06-28,Meta,1,223.38,2025-06-28,Sports
C10224,2025-05-08,Google Shopping,1,140.22,2025-05-08,Home & Garden
C10225,2025-07-17,Organic,1,133.86,2025-07-17,Accessories
C10226,2025-09-24,Meta,1,176.9,2025-09-24,Accessories
C10227,2025-04-17,Email,1,178.39,2025-04-17,Home & Garden
C10228,2025-01-26,Meta,1,246.07,2025-01-26,Electronics
C10229,2025-05-04,Meta,1,210.77,2025-05-04,Home & Garden
C10230,2025-10-03,Referral,4,792.82,2025-11-26,Accessories
C10231,2025-04-08,Meta,2,475.72,2025-11-08,Electronics
C10232,2025-02-14,Meta,1,82.36,2025-02-14,Electronics
C10233,2025-05-14,Organic,1,197.38,2025-05-14,Home & Garden
C10234,2025-09-11,Email,1,124.07,2025-09-11,Home & Garden
C10235,2025-10-12,Referral,1,161.22,2025-10-12,Accessories
C10236,2025-02-03,Meta,1,184.41,2025-02-03,Electronics
C10237,2025-06-12,Email,8,737.29,2025-12-09,Electronics
C10238,2025-05-11,Google Shopping,1,181.82,2025-05-11,Home & Garden
C10239,2025-02-22,Google Shopping,2,277.46,2025-06-06,Electronics
C10240,2025-10-19,Email,6,1215.22,2025-12-14,Sports
C10241,2025-08-07,Organic,4,795.33,2025-11-14,Electronics
C10242,2025-04-06,Google Shopping,1,180.65,2025-04-06,Accessories
C10243,2025-03-02,Google Shopping,1,169.41,2025-03-02,Sports
C10244,2025-04-17,Organic,4,645.97,2025-09-02,Accessories
C10245,2025-04-27,Google Shopping,4,909.33,2025-09-22,Home & Garden
C10246,2025-05-13,Google Shopping,1,115.33,2025-05-13,Accessories
C10247,2025-02-19,Referral,3,641.93,2025-05-12,Home & Garden
C10248,2025-03-02,Social,1,132.36,2025-03-02,Electronics
C10249,2025-11-20,Google Shopping,1,201.1,2025-11-20,Electronics
C10250,2025-03-22,Organic,5,862.15,2025-06-10,Electronics
C10251,2025-09-01,Social,2,335.31,2025-11-29,Accessories
C10252,2025-06-11,Email,5,973.17,2025-07-31,Electronics
C10253,2025-09-26,Social,3,354.11,2025-12-17,Accessories
C10254,2025-05-07,Meta,1,230.27,2025-05-07,Sports
C10255,2025-11-08,Google Shopping,1,168.13,2025-11-08,Electronics
C10256,2025-09-18,Referral,5,810.05,2025-10-26,Accessories
C10257,2025-08-02,Google Shopping,1,248.4,2025-08-02,Electronics
C10258,2025-04-06,Organic,1,179.4,2025-04-06,Sports
C10259,2025-01-23,Organic,5,1219.38,2025-03-14,Accessories
C10260,2025-09-24,Google Shopping,4,803.23,2025-11-13,Sports
C10261,2025-01-20,Meta,1,200.68,2025-01-20,Sports
C10262,2025-09-24,Google Shopping,3,559.56,2025-11-09,Electronics
C10263,2025-03-04,Referral,3,564.62,2025-08-18,Electronics
C10264,2025-01-25,Referral,2,333.94,2025-08-09,Sports
C10265,2025-01-09,Google Shopping,2,358.68,2025-04-24,Sports
C10266,2025-02-13,Social,1,107.03,2025-02-13,Home & Garden
C10267,2025-04-19,Google Shopping,1,136.12,2025-04-19,Sports
C10268,2025-11-11,Email,1,185.69,2025-11-11,Electronics
C10269,2025-08-12,Social,1,106.94,2025-08-12,Electronics
C10270,2025-11-05,Google Shopping,1,162.41,2025-11-05,Electronics
C10271,2025-12-04,Google Shopping,1,186.49,2025-12-04,Accessories
C10272,2025-10-11,Meta,2,355.46,2025-12-27,Electronics
C10273,2025-12-10,Email,8,1689.29,2025-12-22,Accessories
C10274,2025-02-21,Google Shopping,1,170.93,2025-02-21,Electronics
C10275,2025-08-01,Organic,4,682.07,2025-11-11,Sports
C10276,2025-11-04,Meta,1,194.73,2025-11-04,Electronics
C10277,2025-07-01,Google Shopping,1,222.14,2025-07-01,Electronics
C10278,2025-11-20,Organic,1,162.16,2025-11-20,Electronics
C10279,2025-03-23,Google Shopping,1,222.34,2025-03-23,Home & Garden
C10280,2025-02-04,Organic,1,130.41,2025-02-04,Home & Garden
C10281,2025-05-26,Google Shopping,2,549.23,2025-09-02,Home & Garden
C10282,2025-08-14,Google Shopping,1,228.4,2025-08-14,Home & Garden
C10283,2025-02-20,Organic,1,141.6,2025-02-20,Home & Garden
C10284,2025-01-07,Organic,3,652.74,2025-05-25,Electronics
C10285,2025-09-24,Meta,1,145.71,2025-09-24,Electronics
C10286,2025-01-18,Meta,1,238.63,2025-01-18,Home & Garden
C10287,2025-03-20,Social,1,139.51,2025-03-20,Accessories
C10288,2025-03-20,Google Shopping,1,177.64,2025-03-20,Electronics
C10289,2025-09-27,Google Shopping,2,304.95,2025-11-26,Electronics
C10290,2025-06-15,Google Shopping,1,196.65,2025-06-15,Electronics
C10291,2025-10-15,Organic,1,134.35,2025-10-15,Accessories
C10292,2025-08-17,Email,6,1204.84,2025-12-02,Electronics
C10293,2025-03-13,Meta,1,155.18,2025-03-13,Accessories
C10294,2025-08-12,Meta,2,358.92,2025-10-28,Electronics
C10295,2025-10-07,Social,1,141.54,2025-10-07,Accessories
C10296,2025-07-05,Meta,1,253.11,2025-07-05,Accessories
C10297,2025-11-14,Google Shopping,1,140.4,2025-11-14,Electronics
C10298,2025-01-16,Social,2,205.32,2025-11-08,Accessories
C10299,2025-04-24,Social,1,160.89,2025-04-24,Home & Garden
C10300,2025-11-25,Google Shopping,1,174.33,2025-11-25,Electronics
C10301,2025-01-07,Meta,1,181.68,2025-01-07,Accessories
C10302,2025-04-27,Referral,2,360.28,2025-12-03,Accessories
C10303,2025-05-11,Google Shopping,1,191.17,2025-05-11,Sports
C10304,2025-07-09,Google Shopping,2,285.67,2025-08-13,Electronics
C10305,2025-04-03,Meta,1,155.36,2025-04-03,Accessories
C10306,2025-08-05,Google Shopping,2,394.11,2025-11-19,Sports
C10307,2025-04-16,Meta,3,574.79,2025-09-26,Electronics
C10308,2025-05-27,Social,1,119.07,2025-05-27,Home & Garden
C10309,2025-08-26,Social,2,410.91,2025-11-22,Sports
C10310,2025-05-06,Social,1,138.26,2025-05-06,Accessories
C10311,2025-11-10,Social,3,234.11,2025-12-08,Sports
C10312,2025-01-13,Google Shopping,1,109.79,2025-01-13,Electronics
C10313,2025-02-03,Google Shopping,1,163.86,2025-02-03,Electronics
C10314,2025-12-15,Social,1,133.2,2025-12-15,Electronics
C10315,2025-02-25,Google Shopping,1,202.96,2025-02-25,Accessories
C10316,2025-03-19,Organic,6,1196.13,2025-08-20,Sports
C10317,2025-01-21,Google Shopping,1,138.06,2025-01-21,Accessories
C10318,2025-09-17,Social,1,112.55,2025-09-17,Home & Garden
C10319,2025-03-28,Google Shopping,1,173.85,2025-03-28,Home & Garden
C10320,2025-10-28,Email,1,189.49,2025-10-28,Electronics
C10321,2025-03-13,Google Shopping,1,209.85,2025-03-13,Sports
C10322,2025-06-14,Meta,1,212.56,2025-06-14,Accessories
C10323,2025-08-19,Google Shopping,2,386.66,2025-10-14,Electronics
C10324,2025-01-03,Meta,1,143.31,2025-01-03,Electronics
C10325,2025-03-12,Google Shopping,1,171.91,2025-03-12,Accessories
C10326,2025-03-26,Google Shopping,1,139.51,2025-03-26,Home & Garden
C10327,2025-09-26,Google Shopping,1,203.4,2025-09-26,Accessories
C10328,2025-03-24,Email,1,153.09,2025-03-24,Home & Garden
C10329,2025-02-01,Google Shopping,2,311.05,2025-07-24,Electronics
C10330,2025-01-08,Email,1,185.91,2025-01-08,Accessories
C10331,2025-03-15,Email,3,515.12,2025-06-22,Home & Garden
C10332,2025-04-08,Social,1,127.77,2025-04-08,Accessories
C10333,2025-03-12,Organic,3,375.29,2025-10-14,Electronics
C10334,2025-01-07,Google Shopping,1,149.24,2025-01-07,Accessories
C10335,2025-08-17,Google Shopping,3,623.59,2025-10-28,Electronics
C10336,2025-01-12,Organic,3,570.83,2025-06-01,Accessories
C10337,2025-04-11,Meta,1,147.47,2025-04-11,Electronics
C10338,2025-06-09,Organic,1,168.98,2025-06-09,Electronics
C10339,2025-11-10,Organic,7,1306.62,2025-11-25,Electronics
C10340,2025-05-18,Google Shopping,4,705.19,2025-06-08,Electronics
C10341,2025-01-02,Organic,1,191.37,2025-01-02,Electronics
C10342,2025-07-20,Google Shopping,3,360.92,2025-11-02,Accessories
C10343,2025-03-15,Email,7,1187.16,2025-08-13,Electronics
C10344,2025-04-20,Email,5,1060.91,2025-05-10,Electronics
C10345,2025-01-26,Google Shopping,1,141.37,2025-01-26,Accessories
C10346,2025-06-02,Google Shopping,3,506.09,2025-12-10,Accessories
C10347,2025-03-21,Email,8,1302.08,2025-11-13,Home & Garden
C10348,2025-11-26,Email,7,1051.35,2025-12-11,Electronics
C10349,2025-07-14,Organic,5,801.53,2025-11-18,Sports
C10350,2025-01-10,Organic,3,483.84,2025-11-01,Electronics
C10351,2025-06-26,Referral,1,224.22,2025-06-26,Home & Garden
C10352,2025-02-26,Meta,1,178.73,2025-02-26,Sports
C10353,2025-02-08,Email,1,210.17,2025-02-08,Sports
C10354,2025-01-22,Social,1,114.27,2025-01-22,Sports
C10355,2025-03-13,Email,6,1544.22,2025-12-13,Accessories
C10356,2025-12-06,Social,1,131.75,2025-12-06,Accessories
C10357,2025-04-02,Meta,1,244.29,2025-04-02,Accessories
C10358,2025-10-06,Organic,3,341.47,2025-12-06,Home & Garden
C10359,2025-03-03,Meta,1,172.9,2025-03-03,Accessories
C10360,2025-02-04,Organic,1,143.56,2025-02-04,Electronics
C10361,2025-01-15,Organic,2,363.36,2025-09-30,Accessories
C10362,2025-02-11,Email,3,645.96,2025-11-06,Accessories
C10363,2025-01-15,Google Shopping,1,195.96,2025-01-15,Sports
C10364,2025-01-02,Organic,1,164.06,2025-01-02,Sports
C10365,2025-01-28,Google Shopping,1,176.43,2025-01-28,Electronics
C10366,2025-08-25,Email,8,1168.39,2025-11-17,Electronics
C10367,2025-03-06,Meta,3,518.19,2025-09-07,Sports
C10368,2025-12-16,Social,3,467.48,2025-12-26,Home & Garden
C10369,2025-03-05,Google Shopping,1,193.59,2025-03-05,Electronics
C10370,2025-01-09,Referral,3,303.93,2025-09-30,Electronics
C10371,2025-07-06,Meta,1,137.46,2025-07-06,Accessories
C10372,2025-07-14,Organic,3,624.35,2025-11-23,Sports
C10373,2025-01-10,Meta,2,342.39,2025-02-04,Home & Garden
C10374,2025-02-17,Organic,1,181.06,2025-02-17,Accessories
C10375,2025-10-02,Google Shopping,1,204.66,2025-10-02,Home & Garden
C10376,2025-08-02,Meta,2,289.93,2025-12-04,Home & Garden
C10377,2025-09-21,Meta,1,218.39,2025-09-21,Electronics
C10378,2025-02-28,Google Shopping,1,168.54,2025-02-28,Electronics
C10379,2025-02-12,Referral,3,626.4,2025-08-09,Sports
C10380,2025-05-09,Meta,3,420.21,2025-09-30,Accessories
C10381,2025-05-22,Organic,1,107.46,2025-05-22,Accessories
C10382,2025-02-23,Organic,1,165.12,2025-02-23,Electronics
C10383,2025-04-01,Referral,3,430.42,2025-11-02,Accessories
C10384,2025-03-03,Email,4,472.9,2025-06-04,Home & Garden
C10385,2025-04-12,Google Shopping,3,636.87,2025-07-21,Electronics
C10386,2025-05-19,Email,8,1176.9,2025-06-22,Home & Garden
C10387,2025-07-21,Meta,1,240.01,2025-07-21,Sports
C10388,2025-03-27,Social,1,149.03,2025-03-27,Electronics
C10389,2025-04-04,Google Shopping,2,431.49,2025-12-22,Electronics
C10390,2025-04-24,Google Shopping,1,199.03,2025-04-24,Accessories
C10391,2025-10-02,Google Shopping,3,550.34,2025-12-18,Electronics
C10392,2025-05-22,Organic,1,107.31,2025-05-22,Electronics
C10393,2025-07-17,Meta,3,475.77,2025-11-04,Home & Garden
C10394,2025-07-04,Google Shopping,2,293.03,2025-08-12,Accessories
C10395,2025-09-28,Referral,1,130.29,2025-09-28,Sports
C10396,2025-01-06,Organic,5,758.24,2025-07-08,Home & Garden
C10397,2025-03-23,Meta,1,224.17,2025-03-23,Home & Garden
C10398,2025-08-07,Google Shopping,1,201.23,2025-08-07,Electronics
C10399,2025-12-25,Google Shopping,1,186.38,2025-12-25,Electronics
C10400,2025-10-19,Meta,1,249.03,2025-10-19,Home & Garden
C10401,2025-04-14,Social,1,139.52,2025-04-14,Home & Garden
C10402,2025-03-12,Organic,1,149.1,2025-03-12,Electronics
C10403,2025-05-17,Meta,1,237.49,2025-05-17,Accessories
C10404,2025-02-04,Meta,1,232.87,2025-02-04,Sports
C10405,2025-03-26,Google Shopping,2,183.67,2025-12-11,Electronics
C10406,2025-10-27,Organic,5,705.5,2025-12-25,Electronics
C10407,2025-07-16,Organic,7,1265.82,2025-08-01,Electronics
C10408,2025-12-12,Referral,1,149.57,2025-12-12,Electronics
C10409,2025-09-27,Social,1,153.63,2025-09-27,Accessories
