Campaign,Week,Impressions,Clicks,Cost,Conversions,Revenue
Client A (Dental) | Google Ads - Brand,Week 1,1831,162,324,16,2300
Client B (HVAC) | Google Ads - Emergency,Week 3,907,51,416,10,2055
Client B (HVAC) | Google Ads - Emergency,Week 4,1094,62,459,10,1915
Client B (HVAC) | Google Ads - Emergency,Week 5,1177,78,589,10,2111
Client B (HVAC) | Google Ads - Emergency,Week 6,1250,71,601,16,2897
Client B (HVAC) | Google Ads - Emergency,Week 7,1403,78,630,13,2622
Client B (HVAC) | Google Ads - Emergency,Week 8,1362,89,741,16,3117
Client B (HVAC) | Google Ads - Emergency,Week 9,1200,65,537,12,2286
Client B (HVAC) | Google Ads - Emergency,Week 10,809,50,386,8,1538
Client B (HVAC) | Google Ads - Emergency,Week 11,860,54,410,12,2164
Client B (HVAC) | Google Ads - Emergency,Week 12,730,44,381,11,1965
Client B (HVAC) | Meta - Seasonal,Week 1,25730,201,201,1,139
Client B (HVAC) | Meta - Seasonal,Week 2,24778,207,196,1,146
Client B (HVAC) | Meta - Seasonal,Week 3,21845,176,171,2,284
Client B (HVAC) | Meta - Seasonal,Week 4,20281,169,178,2,303
Client B (HVAC) | Meta - Seasonal,Week 5,25617,195,208,1,161
Client B (HVAC) | Meta - Seasonal,Week 6,37914,269,268,2,314
Client B (HVAC) | Meta - Seasonal,Week 7,32629,274,283,3,465
Client B (HVAC) | Meta - Seasonal,Week 8,36245,319,302,2,289
Client B (HVAC) | Meta - Seasonal,Week 9,25954,200,216,2,318
Client B (HVAC) | Meta - Seasonal,Week 10,23239,191,179,1,139
Client B (HVAC) | Meta - Seasonal,Week 11,23196,168,167,1,154
Client B (HVAC) | Meta - Seasonal,Week 12,25238,192,192,2,301
Client C (Legal) | Google Ads - Brand,Week 1,832,91,610,8,3218
Client C (Legal) | Google Ads - Brand,Week 2,649,75,493,5,2003
Client C (Legal) | Google Ads - Brand,Week 3,788,77,485,5,2045
Client C (Legal) | Google Ads - Brand,Week 4,859,85,589,7,2670
Client C (Legal) | Google Ads - Brand,Week 5,724,85,500,6,2063
Client C (Legal) | Google Ads - Brand,Week 6,677,77,541,9,3191
Client C (Legal) | Google Ads - Brand,Week 7,945,93,571,9,3090
Client C (Legal) | Google Ads - Brand,Week 8,665,80,497,6,2344
Client C (Legal) | Google Ads - Brand,Week 9,882,87,583,7,2451
Client C (Legal) | Google Ads - Brand,Week 10,599,73,504,7,2791
Client C (Legal) | Google Ads - Brand,Week 11,698,85,594,8,3037
Client C (Legal) | Google Ads - Brand,Week 12,718,85,564,6,2463
Client C (Legal) | Google Ads - Personal Injury,Week 1,1071,33,1129,7,4283
Client C (Legal) | Google Ads - Personal Injury,Week 2,1284,38,1279,6,4035
Client C (Legal) | Google Ads - Personal Injury,Week 3,1099,37,1064,6,3834
Client C (Legal) | Google Ads - Personal Injury,Week 4,1328,38,1112,5,3184
Client C (Legal) | Google Ads - Personal Injury,Week 5,1125,38,1252,6,3651
Client C (Legal) | Google Ads - Personal Injury,Week 6,1142,35,1134,6,3539
Client C (Legal) | Google Ads - Personal Injury,Week 7,1125,37,1128,4,2855
Client C (Legal) | Google Ads - Personal Injury,Week 8,1160,41,1303,8,5112
Client C (Legal) | Google Ads - Personal Injury,Week 9,1014,33,1083,4,2628
Client C (Legal) | Google Ads - Personal Injury,Week 10,1146,36,1245,8,4685
Client C (Legal) | Google Ads - Personal Injury,Week 11,1212,38,1322,5,3451
Client C (Legal) | Google Ads - Personal Injury,Week 12,1175,40,1314,7,4304
Client C (Legal) | Google Ads - Family Law,Week 1,855,24,616,2,690
Client C (Legal) | Google Ads - Family Law,Week 2,1099,30,660,3,981
Client C (Legal) | Google Ads - Family Law,Week 3,1026,26,617,2,615
Client C (Legal) | Google Ads - Family Law,Week 4,834,26,648,3,1005
Client C (Legal) | Google Ads - Family Law,Week 5,948,27,639,2,578
Client C (Legal) | Google Ads - Family Law,Week 6,993,31,702,4,1328
Client C (Legal) | Google Ads - Family Law,Week 7,1254,33,711,3,1046
Client C (Legal) | Google Ads - Family Law,Week 8,883,26,606,4,1169
Client C (Legal) | Google Ads - Family Law,Week 9,861,26,659,3,984
Client C (Legal) | Google Ads - Family Law,Week 10,1052,27,700,4,1334
Client C (Legal) | Google Ads - Family Law,Week 11,1115,30,652,3,995
Client C (Legal) | Google Ads - Family Law,Week 12,1061,28,598,3,875
Client C (Legal) | Google Ads - Employment,Week 1,706,22,462,2,779
Client C (Legal) | Google Ads - Employment,Week 2,773,23,491,2,900
Client C (Legal) | Google Ads - Employment,Week 3,1025,28,505,2,878
Client C (Legal) | Google Ads - Employment,Week 4,809,25,557,2,901
Client C (Legal) | Google Ads - Employment,Week 5,689,23,455,2,830
Client C (Legal) | Google Ads - Employment,Week 6,941,27,505,2,916
Client C (Legal) | Google Ads - Employment,Week 7,724,24,502,2,897
Client C (Legal) | Google Ads - Employment,Week 8,766,22,440,2,802
Client C (Legal) | Google Ads - Employment,Week 9,909,24,444,2,853
Client C (Legal) | Google Ads - Employment,Week 10,766,24,466,2,832
Client C (Legal) | Google Ads - Employment,Week 11,728,22,479,3,1164
Client C (Legal) | Google Ads - Employment,Week 12,745,25,446,2,835
Client C (Legal) | Meta - Retargeting,Week 1,6183,68,197,1,348
Client C (Legal) | Meta - Retargeting,Week 2,5257,62,173,1,385
Client C (Legal) | Meta - Retargeting,Week 3,4654,58,175,1,316
Client C (Legal) | Meta - Retargeting,Week 4,5004,60,193,1,374
Client C (Legal) | Meta - Retargeting,Week 5,4683,50,166,1,379
Client C (Legal) | Meta - Retargeting,Week 6,4287,53,159,1,362
Client C (Legal) | Meta - Retargeting,Week 7,4945,60,174,1,317
Client C (Legal) | Meta - Retargeting,Week 8,5180,65,178,1,343
Client C (Legal) | Meta - Retargeting,Week 9,4108,53,175,1,364
Client C (Legal) | Meta - Retargeting,Week 10,5485,61,175,1,360
Client C (Legal) | Meta - Retargeting,Week 11,5753,65,181,1,323
Client C (Legal) | Meta - Retargeting,Week 12,4399,52,167,1,340
Client D (E-com) | Google Shopping,Week 1,61478,1195,496,39,2484
Client D (E-com) | Google Shopping,Week 2,69391,1234,534,50,3080
Client D (E-com) | Google Shopping,Week 3,67491,1243,493,42,2647
Client D (E-com) | Google Shopping,Week 4,73002,1200,511,36,2277
Client D (E-com) | Google Shopping,Week 5,79831,1508,602,51,2750
Client D (E-com) | Google Shopping,Week 6,71939,1261,527,47,2656
Client D (E-com) | Google Shopping,Week 7,79441,1300,509,34,2148
Client D (E-com) | Google Shopping,Week 8,70928,1196,517,41,2476
Client D (E-com) | Google Shopping,Week 9,83155,1526,578,45,2416
Client D (E-com) | Google Shopping,Week 10,73202,1428,539,51,2673
Client D (E-com) | Google Shopping,Week 11,71803,1316,538,46,2465
Client D (E-com) | Google Shopping,Week 12,68690,1241,525,48,2763
Client D (E-com) | Google Ads - Brand,Week 1,2877,304,291,24,1606
Client D (E-com) | Google Ads - Brand,Week 2,2163,282,291,28,1726
Client D (E-com) | Google Ads - Brand,Week 3,2684,301,301,27,1922
Client D (E-com) | Google Ads - Brand,Week 4,2567,313,298,30,1904
Client D (E-com) | Google Ads - Brand,Week 5,2564,315,273,20,1408
Client D (E-com) | Google Ads - Brand,Week 6,2345,307,301,29,1949
Client D (E-com) | Google Ads - Brand,Week 7,2161,256,251,28,1725
Client D (E-com) | Google Ads - Brand,Week 8,2643,291,273,31,2041
Client D (E-com) | Google Ads - Brand,Week 9,2543,328,284,31,1842
Client D (E-com) | Google Ads - Brand,Week 10,2422,325,288,28,1750
Client D (E-com) | Google Ads - Brand,Week 11,2074,247,249,24,1462
Client D (E-com) | Google Ads - Brand,Week 12,2451,298,263,21,1333
Client D (E-com) | Google Ads - Generic,Week 1,8512,164,411,15,736
Client D (E-com) | Google Ads - Generic,Week 2,7966,161,413,16,769
Client D (E-com) | Google Ads - Generic,Week 3,7055,128,335,12,664
Client D (E-com) | Google Ads - Generic,Week 4,7641,171,394,13,708
Client D (E-com) | Google Ads - Generic,Week 5,7320,156,386,11,566
Client D (E-com) | Google Ads - Generic,Week 6,9349,176,402,12,568
Client D (E-com) | Google Ads - Generic,Week 7,6273,133,348,12,641
Client D (E-com) | Google Ads - Generic,Week 8,7632,151,381,10,527
Client D (E-com) | Google Ads - Generic,Week 9,7735,148,349,12,678
Client D (E-com) | Google Ads - Generic,Week 10,7655,147,372,9,512
Client D (E-com) | Google Ads - Generic,Week 11,7386,165,387,10,561
Client D (E-com) | Google Ads - Generic,Week 12,7095,157,388,12,586
Client D (E-com) | Meta - Prospecting,Week 1,44274,423,294,12,525
Client D (E-com) | Meta - Prospecting,Week 2,50001,526,365,8,412
Client D (E-com) | Meta - Prospecting,Week 3,38383,423,327,13,566
Client D (E-com) | Meta - Prospecting,Week 4,51105,483,353,10,507
Client D (E-com) | Meta - Prospecting,Week 5,47596,464,324,10,499
Client D (E-com) | Meta - Prospecting,Week 6,48264,444,338,13,599
Client D (E-com) | Meta - Prospecting,Week 7,53674,509,406,11,514
Client D (E-com) | Meta - Prospecting,Week 8,60866,602,422,16,698
Client D (E-com) | Meta - Prospecting,Week 9,48365,528,370,15,659
Client D (E-com) | Meta - Prospecting,Week 10,56450,503,407,11,506
Client D (E-com) | Meta - Prospecting,Week 11,45364,505,403,14,669
Client D (E-com) | Meta - Prospecting,Week 12,53360,544,445,15,744
Client D (E-com) | Meta - Retargeting,Week 1,11247,217,209,13,800
Client D (E-com) | Meta - Retargeting,Week 2,12317,234,215,10,678
Client D (E-com) | Meta - Retargeting,Week 3,11530,241,239,13,729
Client D (E-com) | Meta - Retargeting,Week 4,10469,212,222,13,759
Client D (E-com) | Meta - Retargeting,Week 5,9182,187,204,12,728
Client D (E-com) | Meta - Retargeting,Week 6,11353,206,211,11,702
Client D (E-com) | Meta - Retargeting,Week 7,13537,255,244,12,714
Client D (E-com) | Meta - Retargeting,Week 8,10412,193,194,10,587
Client D (E-com) | Meta - Retargeting,Week 9,11419,243,233,15,914
Client D (E-com) | Meta - Retargeting,Week 10,12705,231,230,10,644
Client D (E-com) | Meta - Retargeting,Week 11,12114,246,234,10,639
Client D (E-com) | Meta - Retargeting,Week 12,11318,237,237,15,932
